id;title;content;top;top_time;create_time;update_time;read_count
1;technologies Computer;../fake-data/blob/hipster.txt;true;2021-11-29T13:11:06;2021-11-30T03:37:41;2021-11-30T05:40:18;8202
2;Gloves bottom-line blockchains;../fake-data/blob/hipster.txt;false;2021-11-30T05:33:12;2021-11-30T04:55:36;2021-11-30T06:26:24;45380
3;world-class;../fake-data/blob/hipster.txt;false;2021-11-29T21:37:16;2021-11-29T16:39:02;2021-11-29T08:32:47;73048
4;card systems;../fake-data/blob/hipster.txt;false;2021-11-29T11:30:11;2021-11-29T12:44:05;2021-11-29T18:48:27;6605
5;platforms Platinum;../fake-data/blob/hipster.txt;false;2021-11-29T15:28:44;2021-11-29T11:45:13;2021-11-30T06:07:45;97625
6;Creative Personal;../fake-data/blob/hipster.txt;true;2021-11-29T14:45:35;2021-11-29T19:36:40;2021-11-29T23:11:02;71521
7;Investment override;../fake-data/blob/hipster.txt;false;2021-11-30T02:31:46;2021-11-29T22:51:42;2021-11-29T16:28:36;42191
8;platforms payment Soft;../fake-data/blob/hipster.txt;false;2021-11-29T13:07:10;2021-11-29T16:38:59;2021-11-30T05:29:21;41313
9;olive District cross-platform;../fake-data/blob/hipster.txt;false;2021-11-30T04:16:45;2021-11-29T21:04:50;2021-11-29T17:43:31;76660
10;Fresh;../fake-data/blob/hipster.txt;true;2021-11-29T19:03:46;2021-11-30T01:06:21;2021-11-29T15:27:11;73880
